Id,Service,Resource,Policy,Notes
1,resourcemanager,Project,JA,projectPolicy + projectBinding at creation (outbox exists)
2,resourcemanager,ProjectConfig,NEIN,parent-policied via project
3,iam,Role,NEIN,lazy; but _role grants + role->project link at creation (challenge 3)
4,iam,Group,NEIN,no policy; group:all-accounts seeded
5,iam,ServiceAccount,NEIN,lazy; rid instead of email (challenge 1/4)
6,auth,Account,NEIN,no tuples at all (model comment)
7,user,User,JA,userPolicy + userBinding + account at creation (exists)
8,user,Profile,NEIN,parent-policied via user
9,user,Organization,NEIN,b2b disabled
10,user,Membership,NEIN,b2b disabled
11,user,MembershipInvitation,NEIN,b2b disabled; email tuples forbidden (challenge 1)
12,billing,Sku,NEIN,lazy; but _sku grants + sku->project link at creation (challenge 3)
13,billing,Tier,NEIN,lazy
14,billing,Price,NEIN,lazy
15,billing,UserBillingAccount,NEIN,parent-policied via user
16,billing,UserBillingInfo,NEIN,parent-policied via user
17,billing,UserEntitlement,JA,no policy type but sku + account tuples at creation (exists)
18,billing,OrganizationBillingAccount,NEIN,b2b disabled
19,billing,OrganizationBillingInfo,NEIN,b2b disabled
20,billing,OrganizationEntitlement,NEIN,b2b disabled
21,billingstripe,StripePrice,NEIN,lazy
22,billingstripe,UserStripeSubscription,NEIN,depth 4; not policied; inherits from userBillingAccount/user
23,storage,Object,NEIN,lazy; object id = base32 sha256 internal (challenge 4)
24,content,Content,NEIN,lazy
25,content,ContentInfo,NEIN,parent-policied via content
26,content,ContentImage,NEIN,parent-policied via content
27,content,ContentVideo,NEIN,parent-policied via content
28,content,ContentAudio,NEIN,parent-policied via content
29,content,Instructor,NEIN,lazy
30,content,InstructorProfile,NEIN,parent-policied via instructor
31,content,InstructorImage,NEIN,parent-policied via instructor
32,content,Tag,NEIN,lazy
33,content,TagInfo,NEIN,parent-policied via tag
34,content,Category,NEIN,lazy
35,content,CategoryInfo,NEIN,parent-policied via category
36,content,Collection,NEIN,disabled for go live; not in fga model
37,content,CollectionInfo,NEIN,disabled for go live; not in fga model
38,content,CollectionContent,NEIN,disabled for go live; not in fga model
39,content,CollectionAudio,NEIN,disabled for go live; not in fga model
40,content,CollectionImage,NEIN,disabled for go live; not in fga model
41,content,CollectionVideo,NEIN,disabled for go live; not in fga model
42,email,EmailConfig,NEIN,project-level only
43,email,Email,NEIN,project-level only; no email type in model
44,email,EmailTemplate,NEIN,project-level only; no emailTemplate type in model
45,email,Operation,NEIN,project-level only
46,language,Language,NEIN,global; not in model
47,authorization,AuthorizationModel,NEIN,project-level only
